Hc-a2,id,name,latitude,longitude
AM,91,Amazonas,-3.9927778,-70.1618056
AN,5,Antioquia,6.5546248912,-75.557011556
AR,81,Arauca,6.6605952571,-71.2608333429
AT,8,Atlántico,10.7082487957,-74.8988405739
BO,11,Bogotá D.C.,4.6,-74.0833333
BL,13,Bolívar,9.406292263,-74.6986050696
BY,15,Boyacá,5.7071612455,-73.1774390276
CL,17,Caldas,5.2763271556,-75.480895063
CQ,18,Caquetá,1.4159618063,-75.48640625
CS,85,Casanare,5.4055409368,-72.2273099368
CA,19,Cauca,2.722195769,-76.541455031
CE,20,Cesar,9.283066668,-73.521766668
CH,27,Chocó,5.8629794259,-76.8049032963
CO,23,Córdoba,8.6155957793,-75.705682
CU,25,Cundinamarca,4.8645057466,-74.1952504784
GN,94,Guainía,3.8652778,-67.9238889
GV,95,Guaviare,2.04881945,-72.468611125
HU,41,Huila,2.4561711703,-75.7129879919
LG,44,La Guajira,11.0673518467,-72.7891111067
MA,47,Magdalena,10.1769682571,-74.3845218214
ME,50,Meta,3.6486819966,-73.4252758621
NA,52,Nariño,1.3855115837,-77.5520809168
NS,54,Norte de Santander,7.9174791675,-72.76738194
PU,86,Putumayo,0.7962136692,-76.6284017154
QD,63,Quindío,4.4946527833,-75.6835879583
RI,66,Risaralda,5.0761508,-75.8647619071
SA,88,San Andrés,12.5,-81.75
ST,68,Santander,6.6067490379,-73.2239897851
SU,70,Sucre,9.186911116,-75.235400008
TO,73,Tolima,4.3393735191,-75.0643912511
VC,76,Valle del Cauca,4.1138437375,-76.2435137853
VP,97,Vaupés,0.8696296333,-70.1912036667
VD,99,Vichada,5.312222225,-69.63958335
